Timestamp,Participant ID,Eating habits [Do you skip breakfast more than once a week?],Eating habits [Do you skip lunch more than once a week?],Eating habits [Do you skip evening meals more than once a week?],Eating habits [Do you skip meals and snack instead on most days?],"Fruit and vegetables [Do you eat more than 5 portions of fruit and/or vegetables every day?Remember that fruit juice only counts as 1 portion a day, regardless of how much you drink. The same applies to dried fruit. Potatoes count as starchy foods and not as vegetables. As a guide, a portion is about a handful.]",Fruit and vegetables [Do you eat more than 4 different varieties of fruit each week?],Fruit and vegetables [Do you eat more than 4 different varieties of vegetables each week?],Fat [Do you choose low-fat products when available?],"Fat [Do you choose baked, steamed or grilled options when available, rather than fried foods (such as crisps and snacks, or fish and chips)?]","Fat [Do you opt for lean cuts of meat or remove visible fat – for example, removing the skin on chicken or the rind on bacon?]","Fat [Did you eat any oily fish last week? Examples of oily fish include salmon, mackerel, herring, sardines, trout, and fresh tuna.]",Fat [Do you include some unsalted nuts and seeds in your diet?],"Starchy foods [Do you base your main meals around starchy foods? For example, potatoes, pasta, rice or bread.]",Starchy foods [Do you regularly choose wholemeal bread or rolls rather than white?],"Starchy foods [Do you regularly eat wholegrain cereals, with no added sugar?]","Starchy foods [Do you regularly include pulses in your diet? For example, beans and lentils.]",Sugar [Do you regularly eat sugar-coated breakfast cereals or add sugar to your breakfast cereals?],Sugar [Do you add sugar to your drinks?],Sugar [Do you regularly drink sweet fizzy drinks?],"Sugar [Do you regularly eat cakes, sweets, chocolate or biscuits at work?]",Salt [Do you regularly add salt to food during cooking?],Salt [Do you regularly add salt to meals at the table?],"Salt [Do you regularly eat savoury snacks at work?For example, crisps or salted nuts.]","Salt [Do you regularly eat pre-prepared meals? For example, pre-prepared sandwiches, ready meals or canned soups.]","Salt [Do you regularly eat processed meats such as ham or bacon, or smoked fish?]",Salt [Has your GP advised you that you have high blood pressure?],Drinks and alcohol [Do you drink plenty of fluids at regular intervals during the working day?],"Drinks and alcohol [Do you opt for a variety of different drinks, including water, at work?]",Drinks and alcohol [Do you avoid sugary fizzy drinks?],"Drinks and alcohol [Do you drink less than 2-3 units of alcohol a day if you’re a woman, or less than 3-4 units of alcohol a day if you’re a man?]"
11/25/2021 15:27:43,P02,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No
11/26/2021 18:46:15,P04,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No
11/29/2021 10:54:03,P06,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
11/29/2021 11:20:27,P05,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
11/29/2021 12:55:36,P03,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
11/29/2021 13:09:14,P07,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
11/29/2021 18:44:19,P09,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
11/29/2021 21:21:12,P08,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
11/30/2021 14:34:31,P10,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
11/30/2021 17:16:44,P12,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
12/1/2021 15:29:19,P15,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes
12/1/2021 15:39:18,P14,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No
12/1/2021 16:02:30,P11,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
12/2/2021 11:24:22,P16,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
12/2/2021 13:58:40,P13,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
12/2/2021 17:34:38,P17,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
12/23/2021 11:19:59,P01,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No